question,category,label
살인죄의 형벌은 무엇입니까?,살인죄,1
살인죄의 형벌은 무엇입니까?,자격모용에 의한 공문서 등의 작성,0
살인죄의 형벌은 무엇입니까?,구류,0
절도죄가 성립하기 위한 요건은 무엇입니까?,절도죄,1
절도죄가 성립하기 위한 요건은 무엇입니까?,강간 등 상해ㆍ치상,0
절도죄가 성립하기 위한 요건은 무엇입니까?,아편 등의 소지,0
상해죄란 무엇입니까?,상해죄,1
상해죄란 무엇입니까?,외교상기밀의 누설,0
상해죄란 무엇입니까?,외환유치,0
업무상 과실치사죄가 성립하려면 어떤 요건이 필요합니까?,과실치사죄,1
업무상 과실치사죄가 성립하려면 어떤 요건이 필요합니까?,진화방해,0
업무상 과실치사죄가 성립하려면 어떤 요건이 필요합니까?,공무상 보관물의 무효,0
폭행죄와 상해죄의 차이는 무엇입니까?,상해죄,1
폭행죄와 상해죄의 차이는 무엇입니까?,"주거침입, 퇴거불응",0
폭행죄와 상해죄의 차이는 무엇입니까?,선고유예의 실효,0
횡령죄의 주요 요건은 무엇입니까?,횡령죄,1
횡령죄의 주요 요건은 무엇입니까?,선고유예의 요건,0
횡령죄의 주요 요건은 무엇입니까?,특수손괴,0
강도죄는 어떤 요건을 만족해야 성립합니까?,강도죄,1
강도죄는 어떤 요건을 만족해야 성립합니까?,시체 등의 유기 등,0
강도죄는 어떤 요건을 만족해야 성립합니까?,법률상의 감경,0
특수절도죄란 무엇입니까?,절도죄,1
특수절도죄란 무엇입니까?,알선수뢰,0
특수절도죄란 무엇입니까?,외국인의 국외범,0
자수한 경우 형이 감경될 수 있습니까?,자수,1
자수한 경우 형이 감경될 수 있습니까?,"살인, 존속살해",0
자수한 경우 형이 감경될 수 있습니까?,외국에서 집행된 형의 산입,0
공범은 어떤 경우에 성립합니까?,공범,1
공범은 어떤 경우에 성립합니까?,형사미성년자,0
공범은 어떤 경우에 성립합니까?,"위증, 모해위증",0
살인미수죄의 처벌은 어떻게 됩니까?,살인죄,1
살인미수죄의 처벌은 어떻게 됩니까?,세관 공무원의 아편 등의 수입,0
살인미수죄의 처벌은 어떻게 됩니까?,"유기, 존속유기",0
협박죄는 어떤 경우에 성립합니까?,협박죄,1
협박죄는 어떤 경우에 성립합니까?,"자수, 자복",0
협박죄는 어떤 경우에 성립합니까?,판결선고전 구금일수의 통산,0
손괴죄란 무엇입니까?,손괴죄,1
손괴죄란 무엇입니까?,공무상 보관물의 무효,0
손괴죄란 무엇입니까?,장례식등의 방해,0
강간죄는 어떤 경우에 성립합니까?,강간죄,1
강간죄는 어떤 경우에 성립합니까?,강도살인ㆍ치사,0
강간죄는 어떤 경우에 성립합니까?,미수범의 처벌,0
사기죄의 요건은 무엇입니까?,사기죄,1
사기죄의 요건은 무엇입니까?,기간의 계산,0
사기죄의 요건은 무엇입니까?,"아편흡식 등, 동장소제공",0
배임죄란 무엇입니까?,배임죄,1
배임죄란 무엇입니까?,"음모, 예비",0
배임죄란 무엇입니까?,여적,0
공문서위조죄가 성립하기 위한 요건은 무엇입니까?,공문서위조죄,1
공문서위조죄가 성립하기 위한 요건은 무엇입니까?,가중ㆍ감경의 순서,0
공문서위조죄가 성립하기 위한 요건은 무엇입니까?,일반건조물 등 방화,0
위증죄란 무엇입니까?,위증죄,1
위증죄란 무엇입니까?,"유기, 존속유기",0
위증죄란 무엇입니까?,공범과 신분,0
도주죄는 어떤 경우에 성립합니까?,도주죄,1
도주죄는 어떤 경우에 성립합니까?,외국인의 국외범,0
도주죄는 어떤 경우에 성립합니까?,가스ㆍ전기등 공급방해,0
유기죄란 무엇입니까?,유기죄,1
유기죄란 무엇입니까?,인권옹호직무방해,0
유기죄란 무엇입니까?,강도강간,0
절도죄는 피해자의 허락이 있으면 처벌됩니다.,절도죄,1
절도죄는 피해자의 허락이 있으면 처벌됩니다.,복표의 발매 등,0
절도죄는 피해자의 허락이 있으면 처벌됩니다.,벌금과 과료,0
살인죄는 피해자의 용서가 있으면 처벌되지 않습니다.,살인죄,1
살인죄는 피해자의 용서가 있으면 처벌되지 않습니다.,"예비, 음모, 선동",0
살인죄는 피해자의 용서가 있으면 처벌되지 않습니다.,금고와 구류,0
상해죄는 폭행이 없으면 성립하지 않습니다.,상해죄,1
상해죄는 폭행이 없으면 성립하지 않습니다.,집행유예의 취소,0
상해죄는 폭행이 없으면 성립하지 않습니다.,긴급피난,0
강간죄는 상대방 동의가 있어도 성립합니다.,강간죄,1
강간죄는 상대방 동의가 있어도 성립합니다.,외교상기밀의 누설,0
강간죄는 상대방 동의가 있어도 성립합니다.,교통방해치사상,0
사기죄는 고의가 없어도 성립합니다.,사기죄,1
사기죄는 고의가 없어도 성립합니다.,"사인등의 위조, 부정사용",0
사기죄는 고의가 없어도 성립합니다.,"경매, 입찰의 방해",0
특수절도는 흉기 없이 혼자서 해야 성립합니다.,절도죄,1
