,question,label
0,살인죄의 형벌은 무엇입니까?,살인죄
1,절도죄가 성립하기 위한 요건은 무엇입니까?,절도죄
2,상해죄란 무엇입니까?,상해죄
3,업무상 과실치사죄가 성립하려면 어떤 요건이 필요합니까?,과실치사죄
4,폭행죄와 상해죄의 차이는 무엇입니까?,상해죄
5,횡령죄의 주요 요건은 무엇입니까?,횡령죄
6,강도죄는 어떤 요건을 만족해야 성립합니까?,강도죄
7,특수절도죄란 무엇입니까?,절도죄
8,자수한 경우 형이 감경될 수 있습니까?,자수
9,공범은 어떤 경우에 성립합니까?,공범
10,살인미수죄의 처벌은 어떻게 됩니까?,살인죄
11,협박죄는 어떤 경우에 성립합니까?,협박죄
12,손괴죄란 무엇입니까?,손괴죄
13,강간죄는 어떤 경우에 성립합니까?,강간죄
14,사기죄의 요건은 무엇입니까?,사기죄
15,배임죄란 무엇입니까?,배임죄
16,공문서위조죄가 성립하기 위한 요건은 무엇입니까?,공문서위조죄
17,위증죄란 무엇입니까?,위증죄
18,도주죄는 어떤 경우에 성립합니까?,도주죄
19,유기죄란 무엇입니까?,유기죄
20,절도죄는 피해자의 허락이 있으면 처벌됩니다.,절도죄
21,살인죄는 피해자의 용서가 있으면 처벌되지 않습니다.,살인죄
22,상해죄는 폭행이 없으면 성립하지 않습니다.,상해죄
23,강간죄는 상대방 동의가 있어도 성립합니다.,강간죄
24,사기죄는 고의가 없어도 성립합니다.,사기죄
25,특수절도는 흉기 없이 혼자서 해야 성립합니다.,절도죄
26,공범은 형사처벌 대상이 아닙니다.,공범
27,횡령죄는 개인 소유 재산에서는 성립하지 않습니다.,횡령죄
28,모욕죄는 명예훼손이 없으면 성립하지 않습니다.,모욕죄
29,방화죄는 어떤 경우에 성립합니까?,방화죄
30,미수범은 원칙적으로 처벌되지 않는다.,미수범
31,사자의 명예를 훼손하면 명예훼손죄가 성립합니까?,명예훼손죄
32,협박죄는 반드시 재산적 손해를 끼쳐야 성립합니까?,협박죄
33,형법상 주거침입죄는 어떤 경우에 성립합니까?,주거침입죄
34,약취유인죄는 미성년자에게만 적용됩니까?,약취유인죄
35,직무유기죄란 무엇입니까?,유기죄
36,친족상도례가 적용되면 처벌을 면제할 수 있습니까?,친족상도례
37,절도범이 체포를 면하기 위해 폭행하면 강도죄가 성립합니까?,절도죄
38,기수범이 성립하려면 결과가 발생해야 합니까?,기수범
39,미필적 고의란 무엇입니까?,미필적 고의
40,강요죄는 폭행이나 협박이 수단입니까?,폭행죄
41,범죄의 성립과 처벌가 적용되는 조건은 무엇인가요?,범죄의 성립과 처벌
42,범죄의 성립과 처벌는 어떤 행위를 하면 성립하나요?,범죄의 성립과 처벌
43,범죄의 성립과 처벌가 성립하지 않는 경우도 있나요?,범죄의 성립과 처벌
44,국내범에 대한 처벌 수위는 어떻게 되나요?,국내범
45,피해자가 원하지 않아도 국내범로 처벌되나요?,국내범
46,국내범는 실수로 해도 처벌되나요?,국내범
47,내국인의 국외범에 해당하는 구체적인 예시가 있을까요?,내국인의 국외범
48,내국인의 국외범가 성립하지 않는 경우도 있나요?,내국인의 국외범
49,내국인의 국외범에 대해 설명해 주세요.,내국인의 국외범
50,국외에 있는 내국선박 등에서 외국인이 범한 죄는 실수로 해도 처벌되나요?,국외에 있는 내국선박 등에서 외국인이 범한 죄
